Modelo,C,alpha,Parámetro,Coeficiente
Lasso,1000.0,0.0005,X1^2 X2,-0.010287564062537257
Lasso,1000.0,0.0005,X1 X2^2,-0.0
Lasso,1000.0,0.0005,X2^3,0.0
Lasso,1000.0,0.0005,X1^4,-0.0
Lasso,1000.0,0.0005,X1^3 X2,0.009340956253588599
Lasso,1000.0,0.0005,X1^2 X2^2,0.029055906883438804
Lasso,1000.0,0.0005,X1 X2^3,-0.04459549052036512
Lasso,1000.0,0.0005,X2^4,-0.018486020518738835
Lasso,1000.0,0.0005,X1^5,-0.04154696879208203
Lasso,1000.0,0.0005,X1^4 X2,0.0
Lasso,1000.0,0.0005,X1^3 X2^2,0.0605213946745946
Lasso,1000.0,0.0005,X1^2 X2^3,-0.0065625834341702825
Lasso,1000.0,0.0005,X1 X2^4,-0.008164296438573799
Lasso,1000.0,0.0005,X2^5,0.050833594760018065
Lasso,1000.0,0.0005,intercepto,-0.24228776288377363
